0 1:0.0 2:473439.273836 3:271984.001109 4:199782.456763 5:189123.859202 6:322286.585366 7:290091.991131 8:425506.963415 9:879516.137472 10:550676.684035 
1 1:296318.812937 2:0.0 3:889700.141608 4:792568.643357 5:36720.0856643 6:1085675.52448 7:933450.085664 8:430.097902098 9:1825289.06294 10:1308879.44755 
2 1:280679.067869 2:1523153.97773 3:0.0 4:5425.92152704 5:957648.569459 6:2610.5630965 7:643.52173913 8:1428458.96501 9:182149.773065 10:52006.3722163 
3 1:199782.456763 2:1288314.76829 3:5557.78381375 4:0.0 5:777666.546563 6:14576.3592018 7:8396.345898 8:1208414.88359 9:240938.54102 10:87087.327051 
4 1:216090.185606 2:77816.500947 3:1060707.40909 4:899909.023674 5:0.0 6:1161828.34186 7:1103795.34186 8:59280.0606061 9:2169472.06061 10:1611953.18561 
5 1:364648.320158 2:1728918.22233 3:3155.50296443 4:17530.5770751 5:1121291.10277 6:0.0 7:732.530632411 8:1669098.61759 9:150787.163043 10:32613.6610672 
6 1:308201.806999 2:1586413.2386 3:643.52173913 4:9806.66065748 5:1007941.56946 6:661.823966066 7:0.0 8:1489740.5737 9:161139.903499 10:41079.7200424 
7 1:456187.976626 2:1789.56199187 3:1494246.97663 4:1305246.18293 5:48370.1229675 6:1619031.9065 7:1541612.50407 8:0.0 9:2736037.36687 10:2108816.87907 
8 1:905283.640693 2:2700111.04004 3:181524.243506 4:249648.640693 5:1956104.10823 6:143351.819264 7:166836.640693 8:2601243.15584 9:0.0 10:40257.3603896 
9 1:550676.684035 2:2045315.1929 3:48644.54102 4:87087.327051 5:1385234.03991 6:30405.9523282 7:41401.6862528 8:1944309.18404 9:38317.7838137 10:0.0 
